epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1594.83,1.04744,1.65661,1.11551,0.8385,0.67344,0.75292,0.5645,1.06849,1.5415,1.32308,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415,0.00997245,0.00332415
2,2411.34,1.03881,1.07301,1.09726,0.88719,0.90851,0.94419,0.71326,0.8015,0.8455,0.95448,0.0199065,0.00663551,0.0199065,0.00663551,0.0199065,0.00663551,0.0199065,0.00663551
3,3039.3,1.11391,1.0668,1.1379,0.87129,0.84292,0.91058,0.64773,0.97394,1.15135,1.09663,0.0297746,0.00992488,0.0297746,0.00992488,0.0297746,0.00992488,0.0297746,0.00992488
4,3609.91,1.14397,1.04032,1.1644,0.89487,0.9136,0.93902,0.69826,0.90094,0.83823,1.00636,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,4193.82,1.10079,0.97173,1.15447,0.81319,0.82211,0.87774,0.60865,1.09587,1.05365,1.20576,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,4710.84,1.07023,0.90754,1.14238,0.89319,0.89255,0.94354,0.72947,0.90682,0.79926,1.08454,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,5214.68,1.02463,0.8623,1.1246,0.9335,0.94155,0.96612,0.77166,0.76447,0.61538,0.96257,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,5723.29,1.01386,0.8395,1.12208,0.93374,0.93105,0.96448,0.77311,0.75681,0.63579,0.96445,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,6227.92,0.98544,0.80741,1.11019,0.89701,0.9136,0.93871,0.71707,0.98343,0.78448,1.14311,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,6774.69,0.9588,0.77142,1.09959,0.94355,0.9568,0.96411,0.78299,0.72643,0.58819,0.93959,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,7395.3,0.95359,0.7518,1.08987,0.95008,0.95172,0.96902,0.7977,0.70555,0.54845,0.92946,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,8117.1,0.92632,0.74417,1.08448,0.93071,0.90456,0.94651,0.73865,0.86149,0.81688,1.04603,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,8812.51,0.91305,0.71839,1.0764,0.97425,0.96143,0.98055,0.81853,0.62809,0.49401,0.89844,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,9455.09,0.89373,0.70507,1.07215,0.9348,0.95426,0.96026,0.78939,0.73106,0.79544,0.96944,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,10174.3,0.89114,0.71146,1.06915,0.96154,0.96696,0.97072,0.81028,0.65829,0.50621,0.90814,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,10984.5,0.87953,0.68692,1.06509,0.95849,0.9682,0.98025,0.83232,0.65922,0.47454,0.92463,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,11676.9,0.86928,0.69553,1.06567,0.94961,0.95781,0.96484,0.8096,0.6718,0.50909,0.91946,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,12435.1,0.8588,0.66921,1.05299,0.95522,0.96188,0.97816,0.82423,0.65466,0.48157,0.92517,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,13168.6,0.86977,0.67015,1.06094,0.95925,0.89708,0.95081,0.77505,0.79086,0.6778,1.02342,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,13901.2,0.84547,0.65883,1.04808,0.94344,0.97489,0.97697,0.83722,0.61576,0.46328,0.90145,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,14697,0.83796,0.64812,1.04634,0.95129,0.96782,0.97106,0.8181,0.71465,0.46527,1.01858,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,15482.3,0.82745,0.64083,1.0433,0.96714,0.97237,0.97267,0.83098,0.58463,0.44311,0.88249,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,16215.5,0.82517,0.64412,1.04098,0.94602,0.95764,0.96549,0.81349,0.6479,0.47992,0.92389,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,17000.1,0.82193,0.63258,1.04425,0.96356,0.97442,0.97363,0.82917,0.6259,0.43918,0.90859,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,17833.2,0.82174,0.61971,1.04232,0.9643,0.97586,0.97889,0.83025,0.61852,0.45003,0.91157,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,18635,0.80893,0.61969,1.04299,0.97401,0.96569,0.98026,0.85053,0.58379,0.4004,0.88618,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,19411,0.80487,0.60957,1.03368,0.96001,0.97613,0.97587,0.82452,0.59674,0.42957,0.89105,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,20095.3,0.80261,0.6148,1.03711,0.95424,0.97332,0.9693,0.83134,0.57668,0.41744,0.88786,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,20742.5,0.80179,0.61056,1.03006,0.9551,0.97313,0.96824,0.80921,0.70377,0.48338,1.00846,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,21394.8,0.79331,0.59898,1.02833,0.96848,0.97616,0.97461,0.83372,0.59728,0.42503,0.90309,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,22032.8,0.78575,0.59018,1.02438,0.9695,0.9784,0.96734,0.8291,0.59359,0.42767,0.88982,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,22638.2,0.78733,0.58574,1.02548,0.97079,0.97116,0.97391,0.84553,0.55831,0.4257,0.87627,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,23220,0.77696,0.58506,1.0264,0.96501,0.97713,0.97938,0.85206,0.56915,0.40338,0.88336,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,23796.5,0.78095,0.5839,1.02505,0.97299,0.96111,0.9715,0.83035,0.6423,0.46739,0.93268,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,24373.4,0.77556,0.58104,1.02185,0.97349,0.97989,0.97362,0.85083,0.56918,0.39804,0.90455,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,26095.7,0.76583,0.56997,1.01946,0.97446,0.9696,0.97826,0.85306,0.55696,0.39919,0.8774,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,26782.8,0.76419,0.57442,1.01901,0.97068,0.97967,0.97469,0.86068,0.56681,0.37983,0.88158,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,27464.3,0.76435,0.56722,1.01183,0.97095,0.97673,0.97674,0.85853,0.55812,0.39499,0.88573,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,28108.5,0.77146,0.5754,1.01701,0.97099,0.97813,0.97897,0.87411,0.52777,0.37487,0.86767,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,28713.3,0.75337,0.55947,1.01428,0.97462,0.97574,0.97909,0.85882,0.53991,0.3791,0.87794,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,29262.4,0.74512,0.55462,1.00812,0.97747,0.97967,0.97968,0.86166,0.5284,0.37214,0.86893,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,29787,0.74111,0.55443,1.00847,0.96965,0.97442,0.97912,0.86629,0.54666,0.38888,0.88241,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,30636.2,0.74948,0.55944,1.01397,0.96983,0.98021,0.97637,0.86104,0.55186,0.38673,0.882,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,31177.8,0.74463,0.54978,1.003,0.97027,0.97967,0.97861,0.87362,0.52701,0.37083,0.87365,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,31756.7,0.73804,0.54413,1.01004,0.96427,0.9784,0.97591,0.86375,0.5621,0.36744,0.88153,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,32577.3,0.73868,0.54782,1.00812,0.97708,0.97517,0.97695,0.87015,0.56684,0.37286,0.90708,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,33388.1,0.73919,0.54853,1.00915,0.97586,0.97597,0.98095,0.87013,0.53518,0.37599,0.8707,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,34224.3,0.73257,0.54377,1.00338,0.96876,0.9784,0.97572,0.87949,0.48618,0.35388,0.85873,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
