epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,32.5133,0.96532,1.79372,1.17513,0.88971,0.83031,0.91558,0.70936,0.80099,1.32223,1.19338,0.00994505,0.00331502,0.00994505,0.00331502,0.00994505,0.00331502,0.00994505,0.00331502
2,59.6828,0.92083,1.17514,1.15482,0.89596,0.85515,0.91648,0.69796,0.94203,1.05327,1.3492,0.0198792,0.00662641,0.0198792,0.00662641,0.0198792,0.00662641,0.0198792,0.00662641
3,85.5213,0.99493,1.08414,1.18708,0.82342,0.88878,0.91334,0.67057,0.92099,0.93023,1.24432,0.0297474,0.00991581,0.0297474,0.00991581,0.0297474,0.00991581,0.0297474,0.00991581
4,106.472,1.05754,1.01883,1.23482,0.87526,0.81194,0.86657,0.60977,1.10049,1.56396,1.44581,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,127.538,1.00694,0.916,1.20582,0.84894,0.85688,0.91172,0.69508,0.89492,0.9882,1.27203,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,150.149,0.97915,0.8744,1.19141,0.91744,0.91487,0.95471,0.77325,0.71624,0.6799,1.06715,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,171.646,0.93743,0.81156,1.16695,0.93929,0.94357,0.96781,0.77664,0.72797,0.63579,1.08412,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,199.359,0.92436,0.79547,1.16066,0.94859,0.93786,0.97269,0.79679,0.70114,0.58887,1.07723,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,220.679,0.90075,0.76295,1.14697,0.94793,0.94849,0.97227,0.81359,0.66822,0.52615,1.04957,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,242.209,0.87161,0.74227,1.13999,0.93089,0.97556,0.96437,0.79571,0.71491,0.59199,1.11737,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,263.199,0.8571,0.7153,1.12033,0.94833,0.96569,0.96501,0.83164,0.5929,0.48093,1.00478,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,284.11,0.83976,0.70835,1.12334,0.93148,0.93393,0.95935,0.80151,0.73044,0.59157,1.14215,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,305.355,0.8224,0.68336,1.10002,0.95391,0.92044,0.96302,0.79547,0.76352,0.61292,1.206,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,326.288,0.79209,0.6662,1.09262,0.95152,0.9695,0.97302,0.84369,0.59646,0.47237,1.01491,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,347.323,0.79314,0.65591,1.09087,0.95689,0.95889,0.96326,0.82054,0.68656,0.53732,1.11193,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,368.043,0.79174,0.65212,1.09715,0.96175,0.97459,0.98317,0.84695,0.53204,0.44014,0.95762,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,388.976,0.77425,0.63083,1.0832,0.95745,0.97214,0.96782,0.84555,0.57268,0.43159,0.98197,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
